Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Chad,TCD,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Channel Islands,CHI,0,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Chile,CHL,3.2,3.7,2.5,3.2,..,3.4,3.4,4.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,China,CHN,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Colombia,COL,33.7,34.8,35.1,32.6,27.9,26.5,25.5,24.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Comoros,COM,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Costa Rica,CRI,11.6,10.3,8.7,8.7,10,11.6,11.9,12.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Croatia,HRV,1.4,1.1,1.2,1.1,0.8,0.9,1,1.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cuba,CUB,4.5,4.7,5.5,5.9,5.2,5.4,5,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Curacao,CUW,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cyprus,CYP,0.7,0.8,1.9,1,1,1.3,1.1,0.6,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Czech Republic,CZE,1,0.8,1,0.8,0.8,0.8,0.6,0.6,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Denmark,DNK,0.8,0.8,0.8,0.9,1.3,1.1,1,1.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Djibouti,DJI,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Dominica,DMA,21,8.4,..,..,12.4,12.3,21.8,25.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Dominican Republic,DOM,25,25.1,22.3,19.2,17.4,..,15.2,11.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ecuador,ECU,17.6,15.4,12.5,11,8.2,6.5,5.9,5.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Egypt, Arab Rep.",EGY,2.2,3.1,2.5,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,El Salvador,SLV,64.7,70.6,41.7,40.2,62.4,105.4,83.1,61.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Eritrea,ERI,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Estonia,EST,5.3,4.9,4.8,3.9,3.1,3.4,2.5,2.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Eswatini,SWZ,17.3,14,8.3,8,9.1,8.5,8.6,9.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ethiopia,ETH,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Fiji,FJI,2.3,2.3,2.3,2.2,2.3,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Finland,FIN,2.2,2,1.6,1.6,1.6,1.5,1.3,1.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,France,FRA,1.3,1.4,1.2,1.2,1.2,1.6,1.4,1.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,French Polynesia,PYF,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Gabon,GAB,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Georgia,GEO,4.4,..,..,..,2.7,..,1,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Germany,DEU,1,0.9,0.8,0.8,0.9,0.8,1.2,1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ghana,GHA,1.7,1.7,2.2,2.1,2,1.9,1.9,2.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Gibraltar,GIB,3,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Greece,GRC,1.5,1.6,1.5,1.4,0.9,0.8,0.8,0.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Greenland,GRL,19.4,1.8,14.2,12.4,7.1,7.1,5.3,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Grenada,GRD,9.6,3.8,13.3,5.7,7.5,5.6,10.2,11.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Guam,GUM,1.9,2.5,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Guatemala,GTM,40.7,38,33.8,33.7,31.4,29.4,27.3,26.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Guinea,GIN,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Guinea-Bissau,GNB,..,..,..,4.8,3.8,2.7,3.5,1.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Guyana,GUY,18.8,17.4,18.5,20.4,19.5,19.4,18.4,14.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Haiti,HTI,6.8,9,10,10,9.3,10,9.5,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Honduras,HND,76.1,85.1,84.3,74.3,66.9,57.5,56.5,41.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Hong Kong SAR, China",HKG,0.5,0.2,0.4,0.9,0.4,0.3,0.4,0.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Hungary,HUN,1.4,1.5,1.3,1.6,1.5,2.3,2.1,2.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Iceland,ISL,0.6,0.9,0.3,0.3,0.6,0.9,0.3,0.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,India,IND,3.8,3.8,3.8,3.6,3.7,3.4,3.2,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Indonesia,IDN,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.4,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Iran, Islamic Rep.",IRN,..,..,..,2.6,2.5,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Iraq,IRQ,8.7,8.3,8.2,9.9,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Ireland,IRL,1.2,0.9,1.1,1.1,1.1,0.7,0.8,0.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Isle of Man,IMN,..,1.2,2.5,2.4,3.6,1.2,0,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Israel,ISR,2,2,1.7,..,1.5,1.4,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Italy,ITA,0.9,0.9,0.9,0.8,0.8,0.8,0.7,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Jamaica,JAM,51.4,40,38.7,42.1,35.1,42.1,47,57,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Japan,JPN,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Jordan,JOR,1.6,1.9,2,1.7,1.9,1.6,1.4,1.4,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Kazakhstan,KAZ,8.5,8.5,7.5,6.5,5.2,4.8,..,5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Kenya,KEN,4.7,5.3,5.4,5.5,5,4.8,4.9,5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Kiribati,KIR,3.9,10.5,7.5,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Korea, Rep.",KOR,1,0.8,0.9,0.7,0.7,0.7,0.7,0.6,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Kosovo,XKX,6,3.5,5,2.2,3,2.3,2.1,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Kuwait,KWT,2,1.8,1.8,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Kyrgyz Republic,KGZ,16.8,8.5,6.8,5.3,5.5,5.2,4.5,4.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Lao PDR,LAO,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Latvia,LVA,3.3,3.3,3.4,2.5,3.2,3.4,3.5,4.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Lebanon,LBN,3.8,3.7,3.9,4.5,4.3,3.9,4,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Lesotho,LSO,37.4,34.5,30.7,31.1,..,41.2,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Liberia,LBR,3.3,4,3.2,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Libya,LBY,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Liechtenstein,LIE,2.8,0,0,0,2.7,0,0,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Lithuania,LTU,7,6.9,6.7,6.6,5.4,5.9,5.2,4.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Luxembourg,LUX,2,0.8,0,0.2,0.7,0.9,0.9,0.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Macao SAR, China",MAC,0.4,0.7,0.7,0.2,0,0.2,0.2,0.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Madagascar,MDG,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Malawi,MWI,3.4,2.2,1.7,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Malaysia,MYS,1.9,1.9,2.1,2.1,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Maldives,MDV,1.6,0.8,2.6,0.8,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Mali,MLI,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Malta,MLT,1,0.7,2.9,1.7,1.4,0.9,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Mauritania,MRT,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Mauritius,MUS,2.6,2.7,2.3,2.8,1.5,1.7,1.8,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Mexico,MEX,22,22.9,21.5,18.8,16.1,16.5,19.3,24.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Moldova,MDA,6.5,7.5,5.6,4.2,3.2,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Monaco,MCO,0,0,0,0,..,0,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Mongolia,MNG,8.8,9.6,7.1,7.1,7.3,6.2,5.7,6.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Montenegro,MNE,2.4,3.4,2.7,1.6,3.2,2.7,4.5,2.4,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Morocco,MAR,1.4,1.3,1.1,1.3,1,1.2,1.7,2.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Mozambique,MOZ,3.6,3.4,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Myanmar,MMR,1.6,2.1,2.8,2.4,2.4,2.2,2.3,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Namibia,NAM,14.4,13.9,17.1,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Nauru,NRU,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Nepal,NPL,3,2.5,2.3,2.2,2,..,2.2,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Netherlands,NLD,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,New Caledonia,NCL,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,New Zealand,NZL,1,0.9,0.9,1,0.9,1,1.1,0.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Nicaragua,NIC,13.7,12.7,11.5,10,8.7,8.6,7.4,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Niger,NER,..,4.9,4.4,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Nigeria,NGA,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,North Macedonia,MKD,2.1,1.4,1.4,1.1,1.7,1.2,0.9,1.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Norway,NOR,0.6,2.2,0.5,0.9,0.6,0.5,0.5,0.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Oman,OMN,..,..,..,..,0.3,0.4,0.4,0.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Pakistan,PAK,7.7,8,7.8,7.7,7.2,5,4.4,4.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Palau,PLW,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Panama,PAN,12.6,14.8,16.9,17.3,15.5,11.9,10,9.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Papua New Guinea,PNG,10,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Paraguay,PRY,11.9,10.4,10.2,9.3,8.8,9.3,8.9,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Peru,PER,..,5.4,6.5,6.6,6.7,7.2,7.7,7.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Philippines,PHL,9.2,8.9,8.8,9.3,9.7,9.5,11,8.4,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Poland,POL,1,1.1,1.1,0.8,0.7,0.8,0.7,0.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Portugal,PRT,1.2,1.1,1.2,1.4,0.9,1,0.6,0.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Puerto Rico,PRI,27.4,31.4,27.2,24.5,19.2,16.7,19.2,18.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Qatar,QAT,0.2,0.2,0.3,0.4,0.4,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Romania,ROU,2,1.7,1.9,1.7,1.5,1.5,1.2,1.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Russian Federation,RUS,..,..,11.3,11.2,11.5,11.6,11,9.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Rwanda,RWA,2.8,..,2.4,3.2,3.8,2.5,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Samoa,WSM,8.6,..,..,3.1,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,San Marino,SMR,0,0,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Sao Tome and Principe,STP,3.4,3.4,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Saudi Arabia,SAU,..,..,..,..,..,1.5,..,1.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Senegal,SEN,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Serbia,SRB,1.4,1.5,1.2,1.6,1.4,1.2,1.4,1.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Seychelles,SYC,9.8,17.4,4.3,19.4,17.2,7.5,12.7,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Sierra Leone,SLE,2.5,2.8,1.7,..,..,1.7,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Singapore,SGP,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Slovak Republic,SVK,1.5,1.6,1.2,1.3,1.3,0.8,1,1.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Slovenia,SVN,0.7,0.8,0.7,0.6,0.8,1,0.5,0.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Somalia,SOM,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,South Africa,ZAF,30.8,29.8,30.6,31.7,32.6,33.8,34,35.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,South Sudan,SSD,..,..,13.9,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Spain,ESP,0.9,0.8,0.8,0.6,0.7,0.7,0.6,0.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Sri Lanka,LKA,3.8,3.6,3.3,3,2.7,2.4,2.5,2.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,St. Kitts and Nevis,KNA,40.8,65.4,34.2,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,St. Lucia,LCA,25.5,26.5,22.3,18.8,19.3,15.8,16.9,29.6,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,St. Martin (French part),MAF,..,22,5.6,22.5,22.8,17.1,28.5,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,St. Vincent and the Grenadines,VCT,22.9,19.2,25.6,..,..,..,36.5,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Sudan,SDN,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Suriname,SUR,..,..,..,5.3,5.8,6.1,7.3,5.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Sweden,SWE,1,0.9,0.7,0.9,0.9,1.1,1.1,1.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Switzerland,CHE,0.7,0.6,0.6,0.7,0.5,0.7,0.5,0.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Syrian Arab Republic,SYR,2.2,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Tajikistan,TJK,2.4,1.6,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Tanzania,TZA,8.4,8.7,8.3,7.3,7.5,7,6.2,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Thailand,THA,5.4,4.9,4.9,4.2,3.9,3.5,3.2,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Timor-Leste,TLS,3.5,..,..,..,..,3.9,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Togo,TGO,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Tonga,TON,1,1.9,1,..,..,..,..,..,..
